t_ms,clip_id,ax,ay,az,gx,gy,gz,label
4122,1,-0.042358,0.004028,1.022583,0.976562,0.793457,1.037598,quieto_mesa
4132,1,-0.042114,0.00354,1.022095,0.976562,1.037598,1.037598,quieto_mesa
4142,1,-0.042358,0.004639,1.021606,1.037598,0.793457,1.037598,quieto_mesa
4152,1,-0.043213,0.004395,1.021851,1.098633,0.732422,0.915527,quieto_mesa
4162,1,-0.041626,0.004272,1.021729,1.098633,1.037598,0.915527,quieto_mesa
4172,1,-0.044067,0.004272,1.021606,1.220703,0.915527,0.915527,quieto_mesa
4182,1,-0.041626,0.003906,1.021606,1.159668,1.098633,0.915527,quieto_mesa
4192,1,-0.042358,0.004272,1.021606,1.220703,1.037598,0.915527,quieto_mesa
4203,1,-0.04248,0.004395,1.022339,1.098633,1.037598,0.976562,quieto_mesa
4212,1,-0.042969,0.004028,1.022949,1.098633,1.098633,1.037598,quieto_mesa
4222,1,-0.042358,0.004395,1.021973,0.976562,0.976562,0.976562,quieto_mesa
4232,1,-0.04187,0.00415,1.022461,0.915527,1.037598,0.976562,quieto_mesa
4253,1,-0.042847,0.003784,1.021729,1.037598,1.037598,0.976562,quieto_mesa
4263,1,-0.041748,0.004272,1.021729,0.915527,1.098633,0.976562,quieto_mesa
4273,1,-0.041992,0.004272,1.021851,1.037598,0.976562,1.098633,quieto_mesa
4283,1,-0.041992,0.004517,1.021362,0.976562,1.098633,0.976562,quieto_mesa
4292,1,-0.04187,0.004395,1.021118,1.220703,0.915527,0.793457,quieto_mesa
4302,1,-0.043213,0.005005,1.022095,1.098633,0.976562,0.976562,quieto_mesa
4312,1,-0.042236,0.003784,1.021851,1.098633,1.098633,0.976562,quieto_mesa
4322,1,-0.042847,0.003906,1.020996,1.098633,0.854492,0.976562,quieto_mesa
4332,1,-0.043213,0.004272,1.022339,1.098633,1.098633,0.793457,quieto_mesa
4343,1,-0.042969,0.00415,1.021851,1.159668,0.915527,1.037598,quieto_mesa
4353,1,-0.042114,0.003418,1.022217,0.854492,1.098633,1.037598,quieto_mesa
4363,1,-0.043091,0.00354,1.021729,0.976562,0.976562,1.098633,quieto_mesa
4373,1,-0.042114,0.00415,1.022095,0.976562,0.976562,1.037598,quieto_mesa
4382,1,-0.041748,0.00354,1.022827,1.159668,0.915527,0.976562,quieto_mesa
4393,1,-0.042236,0.003906,1.02124,1.220703,0.854492,0.976562,quieto_mesa
4413,1,-0.042114,0.003784,1.022095,0.915527,1.037598,0.915527,quieto_mesa
4423,1,-0.041992,0.003784,1.021729,0.915527,1.037598,0.976562,quieto_mesa
4433,1,-0.041504,0.004272,1.021362,1.037598,0.915527,1.037598,quieto_mesa
4443,1,-0.042114,0.003906,1.022461,1.037598,0.854492,1.037598,quieto_mesa
4453,1,-0.042603,0.003784,1.022095,1.159668,0.976562,0.976562,quieto_mesa
4463,1,-0.042236,0.003662,1.021973,0.976562,0.976562,0.976562,quieto_mesa
4473,1,-0.040894,0.003906,1.021851,1.098633,1.159668,0.976562,quieto_mesa
4483,1,-0.042603,0.004761,1.022095,1.159668,1.037598,0.976562,quieto_mesa
4493,1,-0.043091,0.00415,1.022217,1.342773,1.037598,1.098633,quieto_mesa
4503,1,-0.04248,0.003906,1.02124,0.976562,0.976562,1.037598,quieto_mesa
4513,1,-0.041992,0.004517,1.022217,0.976562,1.159668,0.976562,quieto_mesa
4523,1,-0.042114,0.004517,1.022095,0.854492,1.037598,0.976562,quieto_mesa
4533,1,-0.042236,0.004028,1.021729,0.854492,0.976562,0.915527,quieto_mesa
4543,1,-0.042969,0.004517,1.022705,1.098633,0.976562,0.976562,quieto_mesa
4553,1,-0.042969,0.004395,1.023193,1.098633,1.098633,0.976562,quieto_mesa
4574,1,-0.042725,0.003906,1.02124,1.220703,1.037598,0.976562,quieto_mesa
4585,1,-0.042725,0.004028,1.021729,1.098633,0.976562,0.854492,quieto_mesa
4594,1,-0.042603,0.003418,1.022339,1.098633,0.976562,0.854492,quieto_mesa
4603,1,-0.041992,0.003906,1.022583,1.159668,1.037598,1.098633,quieto_mesa
4613,1,-0.04187,0.004028,1.021362,1.098633,1.037598,0.976562,quieto_mesa
4623,1,-0.041992,0.003784,1.020996,1.037598,0.854492,1.037598,quieto_mesa
4634,1,-0.043213,0.003296,1.022705,1.098633,0.915527,0.915527,quieto_mesa
4643,1,-0.041382,0.00354,1.021851,1.159668,1.037598,1.098633,quieto_mesa
4654,1,-0.04126,0.004028,1.021851,1.098633,1.098633,0.976562,quieto_mesa
4664,1,-0.042847,0.00415,1.020752,1.159668,0.915527,1.037598,quieto_mesa
4674,1,-0.042725,0.003418,1.021362,0.854492,0.854492,1.037598,quieto_mesa
4684,1,-0.04248,0.00415,1.020752,1.098633,0.793457,1.098633,quieto_mesa
4694,1,-0.042847,0.003662,1.02063,1.098633,0.976562,0.976562,quieto_mesa
4704,1,-0.043091,0.00415,1.021851,1.098633,0.976562,1.037598,quieto_mesa
4714,1,-0.043335,0.004517,1.021484,0.976562,1.098633,0.976562,quieto_mesa
4734,1,-0.041748,0.004395,1.022217,1.281738,1.098633,1.159668,quieto_mesa
4744,1,-0.042847,0.003418,1.022217,1.098633,0.915527,0.976562,quieto_mesa
4754,1,-0.042969,0.003418,1.022583,1.037598,0.915527,1.037598,quieto_mesa
4764,1,-0.042725,0.003784,1.021606,1.037598,0.976562,0.915527,quieto_mesa
4774,1,-0.042114,0.004272,1.022095,0.915527,0.976562,1.159668,quieto_mesa
4784,1,-0.042603,0.004028,1.021484,0.976562,0.915527,1.037598,quieto_mesa
4794,1,-0.042847,0.004272,1.021362,1.098633,0.915527,1.037598,quieto_mesa
4804,1,-0.042236,0.00354,1.020996,1.098633,1.037598,0.976562,quieto_mesa
4814,1,-0.042847,0.005127,1.02124,1.037598,1.037598,0.915527,quieto_mesa
4824,1,-0.042969,0.004517,1.022217,1.159668,0.976562,1.098633,quieto_mesa
4834,1,-0.042603,0.004028,1.020508,1.159668,0.915527,1.037598,quieto_mesa
