t_ms,clip_id,ax,ay,az,gx,gy,gz,label
19840,1,0.998169,-0.233032,0.035522,3.723145,23.4375,-2.13623,circulos
19851,1,0.998779,-0.239136,0.063477,3.540039,20.629883,-5.371094,circulos
19862,1,1.000366,-0.241455,0.076172,5.615234,19.592285,-8.117676,circulos
19873,1,1.000488,-0.24585,0.082886,8.483887,18.859863,-11.84082,circulos
19883,1,1.00061,-0.248535,0.093262,12.512207,18.981934,-17.883301,circulos
19894,1,0.988892,-0.254639,0.096069,11.657715,19.714355,-19.042969,circulos
19905,1,0.975464,-0.259277,0.090454,9.094238,20.935059,-18.859863,circulos
19916,1,0.953857,-0.270996,0.081665,5.432129,22.155762,-17.63916,circulos
19928,1,0.910522,-0.281738,0.059082,-0.305176,22.216797,-14.465332,circulos
19939,1,0.889404,-0.277954,0.04126,-1.464844,20.996094,-13.85498,circulos
19950,1,0.877197,-0.278564,0.028198,-1.953125,18.737793,-13.549805,circulos
19962,1,0.848877,-0.27063,0.016479,-2.807617,13.305664,-15.319824,circulos
19973,1,0.844604,-0.2677,0.028442,-3.173828,11.474609,-16.174316,circulos
19984,1,0.842896,-0.265259,0.040161,-3.90625,10.009766,-16.540527,circulos
19995,1,0.825806,-0.272217,0.049927,-7.141113,11.71875,-16.296387,circulos
20007,1,0.806763,-0.269653,0.037598,-8.789063,12.695313,-14.892578,circulos
20018,1,0.796875,-0.258179,0.024536,-9.70459,14.221191,-13.73291,circulos
20030,1,0.788696,-0.24707,0.004883,-11.84082,17.211914,-13.61084,circulos
20042,1,0.778076,-0.242554,-0.003174,-13.366699,17.944336,-14.404297,circulos
20054,1,0.758423,-0.250488,-0.009155,-16.418457,19.165039,-15.808105,circulos
20065,1,0.745605,-0.251343,-0.014893,-18.371582,19.226074,-15.869141,circulos
20077,1,0.725098,-0.250244,-0.023437,-20.629883,19.470215,-15.74707,circulos
20089,1,0.710571,-0.259766,-0.036987,-24.536133,16.784668,-15.991211,circulos
20101,1,0.706665,-0.276733,-0.032471,-25.57373,15.258789,-16.906738,circulos
20111,1,0.700317,-0.29126,-0.022339,-25.817871,10.070801,-18.859863,circulos
20120,1,0.716797,-0.335571,0.007935,-26.184082,8.728027,-19.592285,circulos
20130,1,0.720093,-0.366699,0.026733,-27.038574,7.629395,-19.836426,circulos
20140,1,0.723267,-0.390015,0.039307,-28.564453,7.202148,-19.348145,circulos
20150,1,0.719849,-0.41394,0.046509,-30.761719,7.629395,-18.066406,circulos
20159,1,0.719482,-0.441162,0.052856,-32.409668,7.202148,-15.991211,circulos
20169,1,0.716553,-0.458984,0.052734,-33.508301,5.615234,-12.756348,circulos
20180,1,0.71521,-0.489014,0.055176,-32.104492,4.516602,-12.207031,circulos
20189,1,0.718506,-0.490234,0.061279,-31.37207,3.112793,-12.023926,circulos
20199,1,0.716919,-0.49292,0.059692,-30.517578,2.868652,-12.023926,circulos
20208,1,0.720825,-0.502441,0.064819,-29.174805,2.746582,-12.512207,circulos
20218,1,0.721558,-0.51355,0.068481,-28.686523,2.868652,-12.878418,circulos
20227,1,0.712646,-0.521362,0.067627,-28.442383,2.990723,-12.329102,circulos
20237,1,0.703003,-0.527832,0.06189,-28.198242,1.037598,-8.544922,circulos
20247,1,0.69458,-0.535767,0.061401,-28.259277,0.183105,-6.774902,circulos
